distance_km,delivery_time_min
6.47,28.7
4.44,25.8
4.18,27.1
4.18,27.4
11.34,48.4
7.51,45.7
3.59,25.2
6.63,37.4
5.59,35
1.29,13.4
2.48,23.5
5.83,32.5
10.74,48.8
4.2,30.5
3.42,31.7
5.17,34.9
3.29,28.7
4.03,25
4.79,23
2.41,27.9
7.73,50.6
2.14,27.1
1.98,18
5.44,27.5
7.39,35.3
5.36,24.8
4.5,28.6
4.01,34.5
3.61,25.1
8.75,46.6
5.86,40.5
3.8,24.6
3.13,33.1
6.9,47.2
8.63,44.2
8.19,40.5
2.8,25.8
3.99,25.6
3.57,20.4
4.31,34.1
7.69,46.7
10.18,51.4
5.99,29.1
3.2,18.6
4.73,30.5
11.26,52.5
5.09,29.8
4.01,31.8
4.22,31.3
5.97,40.9
2.86,18.4
3.52,23.8
8.13,46.3
5.87,36.3
5.13,38.4
8.36,45.7
3.08,32
3.94,29.4
5.76,38.7
5.65,32
1.86,19.1
3.71,30.2
4.38,35.9
6.13,38.6
5.64,33.1
4.62,35.8
1.28,7
4.76,23.7
5.01,34.1
16.88,76.2
4.29,31
5.78,34.3
9.14,49.3
7.45,36.6
10.41,54.1
1.88,23.6
2.52,27.1
3.37,33.9
1.68,19.5
5.04,32.4
2.65,15.2
11.19,52.1
2.91,22.2
3.95,31.7
7.7,38.5
2.13,23.7
1.61,18.1
5.4,31.7
5.64,34.6
7.57,39
6.56,35
5.77,26.3
3.12,22.7
5.55,30.9
5.75,31.5
3.05,25.5
12.97,64.2
6.38,37.3
2.55,26.2
7.59,43.4
8.33,42.3
6.17,33.4
4.15,29.2
2.97,25.9
4.61,35.8
5.92,39.9
4.87,28.1
10.68,52.1
6.95,41.4
2.77,27.3
2.38,25.3
6.41,36.1
4.21,22.4
7.29,35.2
6.38,37.5
4.62,31.1
2.79,17.7
1.73,18.8
5.49,35.7
2.1,14.8
2.72,27.3
5.3,30.4
5.01,36.7
2.26,18.2
8.87,41.1
8.73,43.1
6.53,36.4
6.53,35.1
6.53,35.8
8.29,45
7.05,38
2.93,22.8
4.17,20.2
15.84,74
1.33,16.7
3.59,32.9
8.89,41.6
3.05,15.5
7.16,42
4.97,32.4
3.18,19.5
1.19,9.6
5.41,39.5
2.89,29.3
4.5,17.9
6.5,34.6
7.91,49.5
3.58,23.5
3.18,21.9
2.08,18.6
8.14,37.9
14.56,59.7
8.64,49.6
9.74,40.7
3.07,24.8
6.28,39.9
7.54,34.1
0.58,10
2.46,26.8
11.63,58.6
1.84,16.2
10.61,57.7
1.83,24.4
2.54,22.9
6.34,32
5.04,29.3
3.8,27.7
11.38,54.4
2.12,24.3
4.4,21.8
6.81,31.2
5.71,34.5
3.25,22.1
3.32,21.8
7.85,33.9
8.06,42.7
5.8,33.8
2.82,25.7
3.38,25.2
4.77,29.5
5.19,37
6.65,31.4
4.26,30.6
7.75,33.9
7.7,37.5
9.92,44.2
4.9,34.1
5.86,34
4.46,28.9
2.84,17.8
14.37,65.3
9.22,43.6
7.61,42.6
4.8,25.8
2.69,28.2
8.38,36.3
4.41,25.1
6.17,43
3.38,22.9
5.6,27.4
3.51,26.3
3.59,23.5
5.55,29.3
1.82,14
1.87,31.6
3.04,22.4
4.23,19.4
7.88,48.7
4.38,31.4
4.78,26.7
4.04,23.2
5.85,37.3
2.83,21.6
4.52,20.5
6.13,43.3
5.53,31.1
4.87,37.2
4.91,36.4
6.47,32.1
14.77,72.8
2.94,20.2
15.01,60.6
2.86,21
1.11,18
3.46,23.1
5.92,33.1
13.04,66.7
2.69,22.7
6.45,32.7
1.99,22.7
12.77,61.4
9.32,36.1
3.59,27.6
10.17,52.4
4.5,29.2
9.59,52.5
4.85,27.4
4.97,32.4
3.64,18.8
6.94,40.2
5.2,40.5
6.53,32.3
1.7,15
9.79,46
11.19,55.1
5.18,26.9
14.17,67.7
12.33,62.7
7.02,41.1
10.24,43
8.76,49.8
1.44,21.7
4.09,31.3
7.31,41.5
11.61,57.1
1.91,23.9
1.5,26.4
4.67,25.5
1.15,21.2
4.58,29
6,34.2
2.61,15
4.65,28.4
8.3,39.1
3.45,23
2.89,18
4.53,27.2
2.44,19.4
13.57,64
4.94,23.5
3.08,17.2
5.49,34.5
4.51,25.5
4.21,32.8
3.45,26.1
3.35,27.5
1.73,24.9
10.23,49.5
6.76,35.1
5.82,38
4.47,31.3
2.59,21
2.97,29.5
1.85,18.1
3.19,24.3
2.37,21.1
11.94,53.2
7.98,42.7
5.07,37.6
2.76,24.5
2.44,21.4
4.3,27.6
8.17,44.5
1.88,22.5
6.71,40.2
3.19,22.6
3.55,27
4.98,33.1
2.82,18.2
4.17,28.6
2.67,12.4
3.35,26.9
7.46,43.3
5.13,34.9
7.44,38.5
3.16,25.4
6.74,44
1.59,24.4
4.98,30.8
7,39.2
1.55,22.9
3.18,17.3
4.97,29.4
8.52,50.4
3.35,29.1
6.59,38.7
10.61,45.5
6.76,37.5
4.26,25.5
6.02,36.4
3.29,20.9
5.09,26.7
4.39,19.4
5.91,40
3.73,24.4
6.1,35.9
3.71,26.1
7.94,37.4
3.94,21.3
1.18,12
2.49,18.2
4.89,32.2
11.88,53.6
7.76,49.3
1.04,20.6
1.78,22.4
9.15,46.2
6.98,45.3
15.54,70.1
3.62,25.6
2.78,23.3
5.05,34.3
3.57,28.4
8.66,42.8
3.5,22.9
4.09,30.4
2.54,24.9
7.47,38.6
2.65,14.9
6.17,34.5
13.04,64.4
1.42,25.5
10.9,48
5.71,31.8
2.29,18.9
5.16,37.7
7.34,39.7
2.9,18.9
6.37,38.7
11.42,53.6
3.5,19.8
2.52,17.6
4.47,36.8
5,32.7
8.92,46.4
4.38,27.5
3.69,27.3
2.48,22.7
1.56,19.2
2.04,20.3
2.03,23.6
4.11,27.7
1.74,14.2
4.68,27
12.87,52
9.07,55.6
4.09,31.4
17.68,75.4
5.01,29.8
5.44,29.8
4.42,35.7
4.74,23.6
3.42,25.5
4.13,27.2
10.94,57.3
9.63,48.1
1.15,8.5
1.87,18
2.92,18.7
8.21,43.6
9.76,55.5
7.32,32
2.29,17.1
3.47,22.7
6.44,34.8
4.16,31.1
3.82,25.7
3.86,28.5
9.22,44.2
6.82,39
3.98,30.6
5.87,31
2.1,23.5
3.47,25.4
8.71,49.8
1.68,17.5
6.87,39.8
1.14,16.1
11.99,57.1
3.42,26.2
6.12,37.7
5.18,26.1
5.29,38.6
5.8,25.7
1.5,14.6
5.36,31.9
4.31,30.2
3.43,32.1
2.92,14.7
5.44,30.4
2.54,12.1
8.62,44.9
6.38,37.5
5.63,40.6
8.42,44.5
1.36,21.9
2.05,22.4
6.54,34.9
3.03,17.2
3.27,25.7
1.87,12.4
2.55,27.5
8.73,44.4
6.45,41.9
5.4,30.4
3.35,25.9
5.2,32.7
9.17,46.6
3.08,21.8
4.73,31.7
12.42,55
7.27,34.2
3.38,30.4
6.93,41.6
1.66,18.6
4.62,37
6.93,37.1
6.05,40.9
6.89,39
7.78,37
6.33,44.4
6.23,40.1
5.47,32.2
2.37,24.3
8.73,43.4
4.72,33.7
7.17,28.5
8.22,38.6
3.48,29.6
3.68,24.9
3.99,28.1
9.68,42.7
2.7,30.6
10.64,57.8
5.44,31.8
5.67,31.7
8.02,47.1
5.08,40.2
8.79,49.7
3.48,35
10.45,47.6
3.65,22.2
10.67,47.2
3.71,28.1
4.06,28.2
2.5,20.8
2.94,26.8
4.73,35.5
5.56,26.3
8.43,41.3
4.23,31.8
2.3,18.6
6.06,31.4
5.34,36.9
6.45,30.7
3.21,22.8
3.45,26.6
3.21,21.6
9.36,51.1
10.5,49.3
3.36,31.1
3.4,24.4
6.98,41.5
11.17,57.8
12.56,56.9
3.27,15.2
3.79,28
5.73,34.1
5.89,36.9
4.33,27.4
2.88,21
4.74,39.1
12.55,53.1
3.48,28.5
5.53,30.4
17.34,76.4
3.45,23.7
7.17,35.6
12.86,63.4
6.82,44.2
8.99,48.3
7.73,41.8
6.5,32.3
10.31,53.5
7.04,48.5
4.36,26.9
5.28,30.4
6.01,32.3
3.78,24.2
5.42,20.2
4.97,32.7
7.02,34.9
14.83,61.1
5.61,36.7
11.33,50.2
6.88,36.6
5.41,39.2
3.65,19.5
5.43,25.7
5.24,33.1
3.08,28.9
3.39,17.8
6.04,36.8
11.27,57.4
4.64,20.4
1.82,22.5
1.05,19.9
2.47,20
7.27,45.3
2.05,24.9
7.94,42.6
7.04,36.7
4.55,24.9
3.1,23.6
4.16,30.4
5.95,33.2
2.09,10.1
10.62,58.1
5.92,35.4
6.32,34.3
7.01,42.5
10.04,57
5.44,20.1
7.27,41.6
3.13,17.5
12.59,62.1
5.22,32.4
3.12,26.7
3.65,23.6
1.31,8.5
3.63,23.8
0.9,17.3
7.58,45.4
6.21,30.3
2.56,26.3
4.69,26.9
4.82,31.9
2.24,18.2
4.21,28.8
4.91,34.7
4.15,22.2
3.12,20.8
2.5,22.3
4.06,38.2
3.36,20.9
6.75,46.8
10.4,60.5
8.17,42.6
5.01,29.7
3.19,21
8.04,42.2
6.99,32.2
9.98,49.6
5.44,39.4
12.22,55.7
5.44,31.6
3.18,16.4
3.56,27.2
6.56,38.1
3.35,25
12.17,57.3
6.25,34.4
4.95,33.1
5.2,31.6
4.12,29.1
1.54,18.8
3.56,30.6
11.31,58
5.53,33.9
8.7,51.9
8.85,47.5
4.72,35.8
7.05,41.5
1.65,10
10.8,58.9
10.3,51.7
6.46,36.3
5.65,34.7
4.76,28.5
9.28,48.3
7.53,38
3.85,32.4
2.3,20.2
2.03,18
9.23,42.9
4.7,31.1
6.39,37.1
5.06,33
2.05,15.2
1.68,11.2
3.69,28.8
3.89,33.5
3.88,22.1
3.95,34.2
14.27,67.5
8.63,44.8
5.58,31.4
4.63,23.4
4.72,34.4
7.37,36.5
4.6,26
8.13,47.4
5.94,26.1
14.35,59.7
4.44,28.8
8.98,47.4
2.44,23.5
3.24,23
13.26,73.8
7.93,41.1
6.46,35.5
16.46,71
4.67,30.3
8.97,48.9
9.35,52.9
11.64,49.5
2.26,19.5
4.65,31.7
5.88,37
11.53,55.8
6.31,38.4
9.36,43.9
2.13,27.1
4.02,31.7
10.28,45
4.34,23.7
4.88,25.8
11.43,58.5
2.79,16.8
3.21,22.7
1.99,21.6
11.69,56.1
8.54,45.6
8.41,39.2
3.95,29.7
1.89,16.4
1.57,16.5
10.32,52.3
6.71,38
7.47,40.5
5.71,30.3
2.97,21.9
4.06,27.4
2.53,15.4
2.33,18.8
8.14,44.7
1.66,12.6
2.54,26.9
4.21,33.7
5.15,26
1.97,25.6
6.26,35.1
5.53,34.9
10.22,48.6
5.2,35.9
6.64,39.1
3.08,20
3.16,18.8
2.11,13.4
3.1,24.6
4.02,29.9
9.64,51.6
2.81,22.1
14.71,62.7
6.98,35.5
6.17,40.6
4.96,28.7
4.41,29.4
3.39,20
1.92,20.8
2.87,20.8
11.67,61.1
6.73,41.1
11.61,53.9
3.34,24.1
2.48,18.9
4.93,24.3
2.94,19.3
5.56,34
1.68,19.8
1.22,17.3
6.03,33.6
11.86,61.3
6.19,35.8
6.69,40.6
5.06,23.2
5.35,14.7
1.86,20.3
3.01,17
9.59,47.5
3.97,25.7
9.48,55.2
5.26,33.8
5.42,33.3
3.99,30.9
7.27,41.3
8.3,41.5
2.91,27.9
1.98,14.5
1.36,18.6
6.51,29.8
6.08,36
17.1,77.8
5.08,38.8
4.55,22.2
5.67,30.8
5.85,37.9
4.34,30
2.97,24.1
4.92,26.4
4.81,27.6
4.76,35.7
7.71,41.1
4.86,32.2
2.01,19.1
3.28,19.1
4.31,32.6
5,33.3
6.59,47.4
5.03,26.5
1.23,20.4
2.16,14.3
6.85,38.7
4.23,32.5
5.29,22.8
3.91,25.9
3.27,21.9
4,24
5.32,33.9
4.84,35.4
8.27,42.8
1.77,19.7
1.93,19.8
4.2,28
6.63,32.3
7.47,45.4
3.35,26.1
0.81,16.9
3.42,21.4
6.09,33.1
4.79,29.4
6.77,30.8
9.4,40.1
4.38,25.9
3.65,28.2
2.72,19.4
1.92,14.7
1.61,14.5
3.15,21.9
8.67,43.4
7.15,48.9
3.55,30.2
14.79,72.8
3.28,29.7
9.91,45.2
11.25,49.2
6.33,31.1
3.13,29.9
3.84,24.1
5.4,26.9
1.95,17.5
2.56,20.7
2.42,22.4
6.61,38.2
9.35,43.8
7.31,42.9
8.48,41.3
2.97,22.6
3.95,30.1
4.14,24.8
6.32,33.5
3.2,26.8
8.18,39.2
11.07,52.3
6.51,39.2
3.85,35.9
2.8,25.4
2.43,23.4
1.24,19.1
4.21,23.2
4.07,28
7.89,41.8
3.33,26.1
4.36,29.1
5.72,35.4
6.45,35.1
7.38,40.3
5.39,27
2.03,18.3
6.12,41.5
3.18,25.5
9.6,48.4
4.9,39.2
5.58,27.1
17.89,75
7.45,48
6.06,35.2
4.44,27.8
2.14,14.7
4.25,30.2
2.78,25
11.84,52.1
6.1,34.5
9.4,46.2
3.27,25.6
2.91,18
7.04,44.4
2.71,26.4
3.67,24.3
12.16,57.2
3.76,25.7
1.86,15.6
1.44,15.5
1.71,17.3
9.71,56.2
3.4,29.2
17.57,83
11.14,56
13.83,59.5
8.6,44.5
6.82,42.3
2.84,17.1
4.82,33.2
7.22,49.9
8.3,48.3
2.27,27
4.29,29.3
4.59,33.8
4.48,25.8
2.46,24.9
12.9,64
4.2,29.3
2.58,27.7
13.09,59.3
11.15,53.5
5.26,32.4
3.6,21
1.63,19.2
6.53,29.1
3.45,29.8
4.75,30.3
12.42,56.9
3.29,20.7
6.37,35.2
7.5,43.6
9.54,50.7
4.55,26.1
4.26,24.4
4.2,30.9
6.01,31.6
10.88,53.6
4.08,28.1
0.9,16.8
7.99,46.2
5.03,25.4
6.54,28.3
1.67,15.8
3.45,33.2
7.62,50.1
2.09,28.2
6.36,35.3
4.73,22
3.01,12.9
2.86,20.1
2.48,20.5
5.02,36.9
5.37,36.3
3.84,27.6
2.38,17
6.25,31.4
8.08,43.8
6.92,41.4
14.15,67.5
4.32,23.8
10.27,54
3.2,26.1
2.88,18.1
5.2,28.2
11.59,59.1
4.03,26.3
1.67,25.5
7.99,44.6
4.61,27.3
5.77,33.9
2.98,23.6
5.18,28.4
1.83,14.8
13.02,64.6
8.85,49.4
5.04,33.9
7.86,48.7
3.2,21.7
8.63,52.3
3.92,22.8
3.75,21.7
2.59,13.9
6.2,33.6
4.91,28.4
10.46,54.1
2.4,22.2
6.22,30.3
9.35,45.8
5.43,31
3.87,18.7
5.35,27.9
9.98,46.5
9.98,56.4
4.49,29.9
9.88,52.5
4.77,23.4
7.81,47.1
6.65,43.1
3.78,17.4
2.65,18.9
9.49,50.3
11.03,56.8
6.13,32.2
4.76,28.7
2.21,17.7
9.35,48
5.72,39.1
4.11,24.1
7.94,46.7
1.96,15.9
2.51,17.7
3.13,27.6
6.53,41
5.38,36.3
6.98,32.6
8.99,44.1
7.13,42.8
13.18,62.3
8.98,41.3
4.49,31.1
3.44,21.9
4.57,37.4
7.28,46.6
3.67,28.7
7.39,46.2
6.91,38.5
2.62,25.4
8.88,52.4
6.01,35.9
12.81,59.5
4.78,22.5
4,26.8
