ram,storage,battery,camera,screen_size,processor_speed,price
2,32,4000,13,6.1,2.0,8999
3,32,4500,13,6.2,2.2,9999
3,64,4500,16,6.4,2.2,10999
4,64,5000,16,6.5,2.3,12499
4,128,5000,48,6.5,2.4,13999
4,128,5000,50,6.6,2.4,14999
6,128,4500,48,6.5,2.6,16999
6,128,5000,50,6.6,2.7,17999
6,256,5000,64,6.7,2.7,19999
8,128,5000,50,6.5,2.8,21999
8,128,6000,64,6.6,2.8,22999
8,256,5000,64,6.7,2.9,24999
8,256,5500,108,6.7,2.9,26999
8,256,5000,108,6.8,3.0,28999
12,256,5000,108,6.7,3.0,31999
12,256,5500,200,6.8,3.1,34999
12,512,5000,108,6.8,3.1,37999
12,512,6000,200,6.9,3.2,42999
16,256,5000,200,6.7,3.2,44999
16,512,5500,200,6.8,3.3,49999
16,512,6000,200,6.9,3.4,54999
12,256,4500,50,6.5,3.0,29999
8,128,4500,48,6.4,2.7,19999
6,256,5000,50,6.6,2.8,20999
4,128,6000,50,6.5,2.4,15499
3,64,5000,16,6.3,2.1,11499
6,128,6000,64,6.6,2.7,18999
8,256,6000,108,6.8,2.9,27999
12,512,5500,200,6.9,3.2,39999
16,512,6000,200,6.9,3.4,52999
4,64,4500,50,6.4,2.3,12999
6,128,5000,50,6.5,2.6,17499
8,128,5000,108,6.6,2.8,23999
8,256,6000,64,6.8,2.9,25999
12,256,6000,108,6.8,3.1,32999
12,512,6000,200,6.9,3.3,41999
16,512,6000,200,7.0,3.4,55999
2,64,5000,13,6.1,2.0,9499
3,128,5000,16,6.3,2.2,11999
4,128,4500,50,6.5,2.4,13499
6,256,6000,50,6.7,2.7,19999
8,128,6000,50,6.6,2.8,21999
8,256,4500,64,6.7,2.9,23999
12,256,5000,50,6.7,3.0,29999
12,512,5000,108,6.8,3.1,35999
16,256,6000,200,6.8,3.3,45999
16,512,6000,200,7.0,3.5,57999
4,64,5000,48,6.4,2.3,13499
6,128,4500,48,6.5,2.6,16499
8,256,5000,50,6.7,2.9,24999
12,256,5500,200,6.8,3.1,33999
