distance_km,delivery_time_min
19.29,144.1
11.21,62.1
10.23,49.4
13.55,87.6
17.99,124.9
12.6,72.2
2.39,12.4
1.0,23.5
10.76,59.9
17.52,135.2
9.78,53.6
13.6,87.8
2.82,19.0
10.61,62.7
1.58,17.3
17.88,118.8
9.28,48.0
3.64,17.0
18.48,139.9
1.91,14.8
15.71,101.0
0.77,16.2
14.41,87.5
11.76,64.1
18.71,131.5
0.91,14.9
8.04,44.7
3.95,19.8
14.44,77.2
14.65,95.1
17.91,124.9
15.85,100.7
19.73,156.2
1.93,8.7
3.65,23.5
15.63,99.7
11.54,66.6
15.26,104.3
17.03,111.3
6.55,30.6
4.33,26.8
1.71,12.6
4.64,23.0
13.82,85.8
15.34,95.6
1.72,16.9
4.43,28.0
20.0,144.2
15.95,98.4
0.66,15.7
13.29,95.0
2.4,17.9
13.75,75.2
15.81,105.0
1.07,5.0
6.67,31.2
13.62,83.2
1.78,14.2
8.55,39.5
12.05,80.2
8.9,41.5
12.25,82.8
6.43,41.1
18.99,129.9
10.48,64.5
10.03,56.8
14.08,85.3
10.66,54.0
7.52,38.0
5.21,31.4
1.56,11.9
8.77,49.9
16.07,115.0
13.41,88.0
4.87,19.2
6.59,24.5
17.9,123.2
8.13,51.8
2.89,19.5
16.96,116.3
16.62,105.2
18.98,130.0
16.0,112.5
16.98,119.4
12.74,73.6
3.2,19.8
6.09,23.5
3.31,19.8
6.24,35.2
12.14,77.4
2.27,11.8
9.35,35.3
2.31,17.8
10.92,59.8
9.31,47.2
6.72,32.0
18.64,127.9
3.91,35.8
3.39,16.2
15.59,102.3
14.47,84.4
11.68,67.5
9.62,56.0
4.67,10.1
0.87,5.0
15.99,93.6
16.14,111.9
13.6,81.8
14.09,82.4
16.78,110.9
4.97,35.5
7.46,37.1
18.99,130.9
18.92,135.0
6.19,48.2
8.33,47.4
17.44,135.3
15.54,100.6
17.43,113.1
14.77,89.6
3.08,11.3
11.65,73.9
17.89,119.5
8.6,46.4
7.25,34.0
18.96,141.5
1.68,12.0
4.01,34.4
2.57,16.8
19.33,154.0
2.96,11.9
16.82,122.6
18.6,129.2
12.91,79.4
4.56,25.1
11.62,68.0
6.57,38.4
15.86,103.3
13.5,99.5
14.54,94.0
12.32,68.2
3.5,24.8
13.2,74.5
15.26,101.8
10.11,46.4
17.7,124.3
12.76,78.4
9.11,49.6
5.32,28.2
14.78,96.0
13.47,92.6
7.42,35.4
1.93,20.3
7.82,47.5
2.68,18.2
2.65,21.6
19.05,140.7
13.59,79.8
9.21,39.4
8.97,45.4
8.63,49.0
4.05,24.8
13.43,80.6
11.33,52.6
3.95,26.8
8.95,51.7
11.19,52.6
2.27,20.9
13.05,80.3
9.84,63.9
3.85,24.3
12.76,70.2
6.56,40.9
12.28,60.9
12.63,80.1
17.56,122.3
5.44,21.5
11.9,78.5
17.14,115.8
16.28,113.7
18.25,125.9
1.14,12.8
19.93,142.0
6.51,37.5
3.23,15.9
14.86,94.0
17.06,120.6
15.6,102.6
7.84,33.9
6.89,37.3
18.3,132.1
6.0,29.4
2.08,26.4
1.14,8.7
2.06,14.7
1.44,20.1
18.76,138.2
2.53,25.4
17.74,128.5
6.57,36.9
19.08,138.1
8.54,46.1
2.16,13.5
1.27,17.2
10.36,56.3
5.66,20.8
8.22,44.6
13.33,71.1
19.81,140.4
9.06,48.2
19.22,138.2
1.04,20.5
3.73,20.8
7.97,50.2
1.28,15.2
15.34,98.1
10.62,67.2
13.48,86.2
17.34,119.4
10.88,64.0
1.8,10.0
18.15,132.8
2.65,21.1
10.35,62.6
1.73,16.0
2.04,9.8
13.09,79.9
7.44,39.6
2.55,19.3
16.63,108.4
3.92,28.0
12.67,75.4
5.76,40.7
0.54,5.0
3.85,21.1
10.37,57.2
17.4,124.6
2.27,14.5
15.72,103.3
11.44,64.5
18.17,131.6
5.7,33.9
3.89,9.9
12.48,72.5
16.56,105.0
13.5,86.8
5.72,18.0
16.41,108.0
8.89,53.4
18.31,130.6
15.86,107.9
12.3,79.5
4.19,15.6
8.54,52.4
14.78,86.2
5.5,25.1
7.46,38.0
5.71,24.7
6.69,33.0
8.4,34.8
14.7,89.1
1.34,14.2
8.69,37.7
18.55,131.9
2.42,17.1
13.75,85.6
16.93,127.5
10.39,52.1
7.48,38.1
8.05,28.2
4.84,26.5
16.39,98.7
2.39,7.4
11.23,65.9
15.85,104.4
11.95,62.3
13.12,77.3
4.43,29.4
14.88,83.3
13.22,81.3
3.45,24.8
0.78,9.0
6.43,27.7
7.98,43.9
5.75,23.8
12.27,77.5
8.1,45.2
0.8,7.5
14.61,94.5
7.42,31.9
13.31,82.7
16.1,111.3
10.38,53.3
17.35,121.4
19.34,147.5
12.27,68.6
3.17,21.4
15.52,95.4
13.9,80.2
9.47,38.5
17.14,122.7
17.43,120.6
6.65,31.3
12.12,67.3
16.16,108.3
14.87,90.7
10.5,63.4
16.44,114.0
6.72,32.8
7.58,50.0
18.57,139.4
15.65,110.9
6.24,37.2
18.75,131.6
9.2,55.9
18.72,130.9
8.27,44.3
18.28,134.1
3.26,17.2
16.36,110.3
18.81,131.7
5.22,29.5
2.68,8.4
6.2,34.9
11.45,69.5
