distance_km,traffic_level,prep_time_min,delivery_time_min
3.6,1,8.5,25.5
2.9,1,12.9,32.2
4.84,3,9.5,38.9
8.57,2,12.9,52.2
6.85,1,14.8,46.7
6.5,3,4.3,45.7
4.11,1,10.5,29.7
6.68,2,17.1,54.2
5.21,2,8.2,40.0
11.74,2,8.5,63.4
5.3,2,12.0,41.2
4.7,3,13.6,47.1
1.81,2,5.6,28.4
8.71,1,15.5,48.8
3.72,1,11.5,34.4
1.56,1,11.9,23.6
6.61,2,12.7,54.4
2.17,1,11.0,24.9
10.72,3,15.8,71.5
7.81,3,11.2,48.9
4.32,1,13.2,35.6
1.5,1,11.4,26.8
1.4,1,12.9,26.1
5.68,3,12.3,48.3
3.47,2,6.9,29.4
5.14,2,14.9,45.7
5.62,2,7.2,39.4
1.83,2,14.3,34.3
6.48,1,13.0,40.9
4.56,1,7.6,27.8
9.38,3,11.9,64.9
3.84,2,10.4,42.4
1.3,2,12.6,35.2
3.8,1,8.4,31.8
2.71,2,15.9,39.8
4.01,2,12.4,39.3
2.21,1,16.0,32.7
5.16,1,9.6,36.3
10.6,2,9.1,54.7
5.89,2,13.3,42.4
7.38,1,6.4,41.4
4.29,2,9.3,34.0
1.42,3,17.5,46.4
6.18,2,9.5,43.1
2.64,3,12.2,42.9
4.01,1,6.3,30.0
9.88,2,15.7,60.8
6.66,2,7.2,44.4
7.15,2,7.1,45.4
3.14,3,12.7,44.8
4.67,1,7.7,34.6
3.9,1,4.1,32.0
3.59,1,7.5,29.3
6.09,1,12.8,44.0
1.82,2,10.0,28.2
10.54,2,13.6,66.2
5.31,1,14.7,40.4
12.11,1,13.9,62.7
3.62,1,17.4,35.7
8.74,1,12.2,45.8
6.72,2,16.9,44.2
4.9,2,10.6,50.1
3.69,3,17.1,52.9
3.78,2,15.3,39.0
2.79,1,16.0,33.3
4.61,3,24.1,51.9
7.56,3,13.2,59.6
8.34,3,14.4,62.0
5.72,1,15.7,45.9
3.26,1,15.9,33.5
3.85,1,14.6,38.6
3.47,2,14.8,40.2
5.48,3,11.9,44.4
5.1,2,9.7,45.4
1.97,1,6.7,21.4
3.06,3,12.3,44.2
6.46,1,9.5,42.8
2.11,1,6.2,26.6
3.49,1,18.0,41.4
4.08,1,16.3,38.6
2.83,2,12.8,30.4
4.88,1,7.2,34.6
1.41,2,11.8,40.2
8.91,3,12.3,59.4
12.09,3,10.1,71.3
1.68,2,17.8,37.7
7.47,1,15.9,47.9
2.63,1,7.6,26.6
6.16,3,13.6,58.1
12.94,1,5.4,60.3
6.39,2,13.9,49.2
9.0,3,14.8,64.3
2.38,3,17.5,36.4
2.86,2,3.0,22.1
4.57,1,18.2,33.6
8.29,2,8.3,49.2
8.32,1,14.9,55.7
6.7,2,8.1,48.8
3.57,2,12.3,36.3
6.07,1,14.1,44.8
